order_id,product_name,city,quantity,order_date,price_per_unit,shipping_date
1,Keyboard Mech,Jakarta,2.0,2024-03-26,800000,2024-03-28
2,Headset RGB,Surabaya,2.0,2024-09-04,500000,2024-09-13
3,Monitor 24in,Medan,1.0,2024-08-04,2000000,2024-08-11
4,Headset RGB,Surabaya,4.0,2024-02-11,500000,2024-02-14
5,Headset RGB,Bandung,3.0,2024-07-12,500000,2024-07-21
6,Mouse Wireless,Surabaya,2.0,2024-11-22,150000,2024-11-26
7,Monitor 24in,SURABAYA,2.0,2024-06-11,2000000,2024-06-18
8,Monitor 24in,jakarta ,4.0,2024-10-02,2000000,2024-10-05
9,Monitor 24in,jakarta ,4.0,2024-12-29,2000000,2025-01-03
10,Headset RGB,Surabaya,1.0,2024-05-09,500000,2024-05-13
11,Keyboard Mech,Makassar,4.0,2024-09-19,800000,
12,Monitor 24in,Bandung,1.0,2024-06-25,2000000,2024-07-04
13,Kabel HDMI,Jakarta,,2024-09-21,50000,2024-09-26
14,Headset RGB,Surabaya,4.0,2024-01-27,500000,2024-01-28
15,Mouse Wireless,Jakarta,4.0,2024-03-25,150000,2024-03-30
16,Keyboard Mech,Bandung,4.0,2024-07-14,800000,2024-07-19
17,Kabel HDMI,Surabaya,4.0,2024-11-11,50000,2024-11-20
18,Kabel HDMI,Makassar,4.0,2024-08-30,50000,2024-09-07
19,Mouse Wireless,Medan,,2024-12-07,150000,2024-12-12
20,Keyboard Mech,Makassar,2.0,2024-06-25,800000,2024-06-30
21,Headset RGB,SURABAYA,3.0,2024-05-09,500000,2024-05-11
22,Laptop Gaming,Makassar,3.0,2024-05-24,15000000,2024-06-02
23,Keyboard Mech,Medan,1.0,2024-03-23,800000,2024-03-27
24,Mouse Wireless,SURABAYA,1.0,2024-12-25,150000,
25,Kabel HDMI,Medan,2.0,2024-03-28,50000,2024-04-03
26,Headset RGB,jakarta ,4.0,2024-01-20,500000,2024-01-25
27,Keyboard Mech,Medan,1.0,2024-08-17,800000,2024-08-22
28,Laptop Gaming,Surabaya,3.0,2024-05-05,15000000,2024-05-12
29,Laptop Gaming,Jakarta,4.0,2024-12-19,15000000,2024-12-21
30,Monitor 24in,jakarta ,1.0,2024-02-20,2000000,2024-02-29
31,Monitor 24in,jakarta ,4.0,2024-03-28,2000000,2024-03-30
32,Mouse Wireless,Jakarta,3.0,2024-06-18,150000,2024-06-27
33,Keyboard Mech,jakarta ,,2024-03-03,800000,2024-03-07
34,Keyboard Mech,Medan,1.0,2024-03-29,800000,2024-04-04
35,Kabel HDMI,Makassar,1.0,2024-07-07,50000,2024-07-08
36,Kabel HDMI,Bandung,3.0,2024-07-08,50000,2024-07-13
37,Kabel HDMI,Medan,2.0,2024-03-29,50000,2024-04-04
38,Monitor 24in,SURABAYA,2.0,2024-12-13,2000000,2024-12-22
39,Keyboard Mech,SURABAYA,,2024-11-27,800000,
40,Keyboard Mech,Makassar,1.0,2024-01-26,800000,2024-02-04
41,Laptop Gaming,Makassar,1.0,2024-06-24,15000000,2024-06-27
42,Monitor 24in,jakarta ,,2024-12-29,2000000,2025-01-02
43,Headset RGB,Surabaya,3.0,2024-09-20,500000,2024-09-28
44,Monitor 24in,Surabaya,1.0,2024-02-11,2000000,2024-02-19
45,Headset RGB,jakarta ,3.0,2024-04-28,500000,2024-04-30
46,Laptop Gaming,jakarta ,2.0,2024-06-17,15000000,2024-06-25
47,Mouse Wireless,Jakarta,2.0,2024-04-17,150000,2024-04-24
48,Keyboard Mech,Jakarta,4.0,2024-05-26,800000,2024-06-04
49,Laptop Gaming,Bandung,3.0,2024-06-24,15000000,2024-06-29
50,Keyboard Mech,Bandung,4.0,2024-07-07,800000,2024-07-09
51,Kabel HDMI,Bandung,3.0,2024-06-08,50000,2024-06-13
52,Mouse Wireless,Bandung,3.0,2024-10-28,150000,2024-10-30
53,Mouse Wireless,Makassar,2.0,2024-12-13,150000,2024-12-18
54,Laptop Gaming,Makassar,1.0,2024-03-14,15000000,2024-03-23
55,Mouse Wireless,Jakarta,3.0,2024-12-17,150000,2024-12-24
56,Headset RGB,Surabaya,3.0,2024-01-18,500000,2024-01-25
57,Mouse Wireless,jakarta ,3.0,2024-05-19,150000,2024-05-20
58,Keyboard Mech,SURABAYA,1.0,2024-04-24,800000,2024-05-03
59,Keyboard Mech,Surabaya,4.0,2024-11-23,800000,2024-11-29
60,Keyboard Mech,Medan,4.0,2024-08-12,800000,2024-08-19
61,Keyboard Mech,Makassar,3.0,2024-02-15,800000,2024-02-17
62,Headset RGB,Bandung,3.0,2024-02-07,500000,2024-02-08
63,Monitor 24in,Bandung,4.0,2024-07-24,2000000,2024-07-28
64,Kabel HDMI,Medan,4.0,2024-01-09,50000,2024-01-18
65,Laptop Gaming,Surabaya,2.0,2024-09-09,15000000,2024-09-18
66,Keyboard Mech,Bandung,3.0,2024-04-17,800000,2024-04-20
67,Mouse Wireless,Surabaya,,2024-04-07,150000,2024-04-08
68,Keyboard Mech,jakarta ,2.0,2024-10-01,800000,2024-10-03
69,Mouse Wireless,Medan,1.0,2024-03-11,150000,2024-03-20
70,Kabel HDMI,SURABAYA,3.0,2024-02-08,50000,2024-02-17
71,Kabel HDMI,Surabaya,4.0,2024-10-24,50000,2024-10-25
72,Kabel HDMI,jakarta ,3.0,2024-03-30,50000,2024-04-08
73,Mouse Wireless,Surabaya,2.0,2024-08-06,150000,2024-08-07
74,Keyboard Mech,Surabaya,4.0,2024-04-16,800000,2024-04-20
75,Kabel HDMI,Bandung,1.0,2024-04-05,50000,2024-04-10
76,Headset RGB,Jakarta,1.0,2024-02-01,500000,
77,Mouse Wireless,Makassar,2.0,2024-05-05,150000,
78,Mouse Wireless,Surabaya,1.0,2024-05-26,150000,2024-05-31
79,Keyboard Mech,Surabaya,1.0,2024-10-06,800000,
